Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Is EV?,Battery / Mileage,Notable Features
Kia,Seltos,2020,Sedan,Petrol,11,6.00 - 15.00,6479,No,19.2 kmpl,"ABS, Hill Hold, AC, Sunroof, Ventilated Seats, HUD, Android Auto, Apple CarPlay"
Lexus,RX,2016,MPV,Petrol,10,8.00 - 20.00,4157,No,18.4 kmpl,"ADAS, ESC, Airbags, ABS, Leather Seats, Ventilated Seats, Power Windows, AC, Voice Control"
Audi,A4,2021,Sedan,Petrol,25,6.00 - 15.00,11026,No,15.5 kmpl,"360 Camera, ESC, TPMS, ABS, AC, Cruise Control, Leather Seats, Power Windows, Sunroof, Android Auto, Wireless Charging, HUD"
Tata,Punch,2016,MPV,Petrol,13,8.00 - 20.00,3013,No,22.9 kmpl,"Hill Hold, 360 Camera, ABS, ESC, Power Windows, Sunroof, AC, Apple CarPlay"
Skoda,Slavia,2019,SUV,Petrol,6,10.00 - 30.00,6251,No,17.6 kmpl,"TPMS, Hill Hold, 360 Camera, Power Windows, Leather Seats, AC, Voice Control, Wireless Charging"
Lexus,NX,2020,Hatchback,Petrol,25,3.50 - 8.50,13202,No,15.9 kmpl,"ESC, Hill Hold, Ventilated Seats, AC, Leather Seats, Android Auto"
Mahindra,Thar,2022,SUV,Petrol,12,10.00 - 30.00,3141,No,18.9 kmpl,"EBD, TPMS, ESC, Touchscreen, Power Windows, AC, Ventilated Seats, Cruise Control, Voice Control, Wireless Charging"
Skoda,Slavia,2018,Sedan,Petrol/CNG,2,6.00 - 15.00,13134,No,28.5 kmpl,"EBD, ADAS, Touchscreen, Cruise Control, Sunroof, HUD, Apple CarPlay"
Maruti Suzuki,Fronx,2016,Compact SUV,Diesel,9,7.00 - 18.00,9033,No,26.4 kmpl,"TPMS, ESC, ABS, Airbags, Leather Seats, Cruise Control, Power Windows, Touchscreen, AC, Connected Car"
Honda,Amaze,2021,Hatchback,Diesel,19,3.50 - 8.50,11087,No,25.0 kmpl,"EBD, TPMS, Ventilated Seats, Leather Seats, AC, Cruise Control, Touchscreen, Android Auto, Voice Control"
BMW,2 Series,2023,Sedan,Petrol,22,6.00 - 15.00,13483,No,17.9 kmpl,"360 Camera, ABS, Cruise Control, Power Windows, Ventilated Seats, HUD"
Renault,Kwid,2019,Compact SUV,Petrol,4,7.00 - 18.00,9315,No,21.4 kmpl,"360 Camera, ADAS, Airbags, Ventilated Seats, AC, Leather Seats, Sunroof, Voice Control"
Kia,Carens,2023,Sedan,Petrol,20,6.00 - 15.00,12850,No,18.7 kmpl,"360 Camera, EBD, Hill Hold, Leather Seats, Power Windows, AC, Touchscreen, Wireless Charging, HUD"
Force,Gurkha,2021,Hatchback,Petrol,9,3.50 - 8.50,12175,No,16.3 kmpl,"ADAS, ABS, ESC, Touchscreen, Ventilated Seats, Power Windows, Cruise Control, Leather Seats, Wireless Charging, Connected Car"
Lexus,NX,2023,Luxury,Diesel,14,30.00 - 100.00,838,No,24.5 kmpl,"ABS, ADAS, Sunroof, Leather Seats, Ventilated Seats, Voice Control, Connected Car, Wireless Charging"
Mercedes,GLA,2019,Hatchback,Diesel,9,3.50 - 8.50,13009,No,26.1 kmpl,"Hill Hold, ESC, ABS, EBD, Sunroof, Leather Seats, AC, Voice Control, Connected Car"
Force,Gurkha,2022,Compact SUV,Petrol,7,7.00 - 18.00,10617,No,17.2 kmpl,"ESC, 360 Camera, Hill Hold, Power Windows, AC, Touchscreen, Android Auto, HUD"
Lexus,ES,2023,Hatchback,Petrol,3,3.50 - 8.50,8615,No,20.6 kmpl,"ESC, EBD, Ventilated Seats, AC, Touchscreen, Connected Car"
Toyota,Camry,2022,Hatchback,Petrol/CNG,22,3.50 - 8.50,16906,No,21.5 kmpl,"ESC, EBD, 360 Camera, ADAS, Cruise Control, AC, Ventilated Seats, Power Windows, Touchscreen, Voice Control, HUD"
Skoda,Slavia,2015,SUV,Petrol,21,10.00 - 30.00,2550,No,24.7 kmpl,"Hill Hold, TPMS, ADAS, Sunroof, Touchscreen, Power Windows, Cruise Control, AC, Connected Car, Wireless Charging, HUD"
Jeep,Compass,2015,SUV,Petrol,13,10.00 - 30.00,6463,No,20.0 kmpl,"TPMS, ADAS, ESC, Power Windows, Touchscreen, Ventilated Seats, Sunroof, Leather Seats, Android Auto, HUD"
Citroen,C5 Aircross,2021,Sedan,Diesel,20,6.00 - 15.00,7049,No,19.7 kmpl,"ABS, Hill Hold, EBD, Power Windows, Leather Seats, Sunroof, Android Auto"
Skoda,Superb,2023,Compact SUV,Petrol/CNG,11,7.00 - 18.00,8967,No,25.7 kmpl,"Airbags, Hill Hold, ADAS, ESC, AC, Cruise Control, Leather Seats, Power Windows, Ventilated Seats, Wireless Charging, Voice Control"
Nissan,Magnite,2015,Hatchback,Petrol,5,3.50 - 8.50,18943,No,16.8 kmpl,"ADAS, EBD, Power Windows, Cruise Control, Ventilated Seats, HUD, Voice Control"
Maruti Suzuki,Dzire,2018,Compact SUV,Petrol,4,7.00 - 18.00,9249,No,17.0 kmpl,"ABS, 360 Camera, Hill Hold, TPMS, AC, Ventilated Seats, Cruise Control, Sunroof, Connected Car, Apple CarPlay"
Force,Gurkha,2020,SUV,Electric,8,12.00 - 39.00,2988,Yes,405 km range,"Hill Hold, ESC, Ventilated Seats, Cruise Control, Sunroof, Leather Seats, Touchscreen, Android Auto"
BYD,E6,2020,Compact SUV,Petrol,15,7.00 - 18.00,8367,No,23.4 kmpl,"Hill Hold, EBD, Cruise Control, Ventilated Seats, Power Windows, Connected Car"
Renault,Triber,2022,SUV,Petrol,13,10.00 - 30.00,5114,No,16.3 kmpl,"ESC, ABS, Ventilated Seats, Power Windows, Sunroof, Apple CarPlay, Android Auto, HUD"
Audi,Q3,2019,Hatchback,Petrol,14,3.50 - 8.50,13472,No,23.4 kmpl,"360 Camera, Airbags, EBD, Cruise Control, Sunroof, Ventilated Seats, Power Windows, HUD, Voice Control, Wireless Charging"
MG,ZS EV,2019,Hatchback,Petrol,23,3.50 - 8.50,9635,No,21.9 kmpl,"ABS, Hill Hold, TPMS, 360 Camera, Power Windows, Ventilated Seats, Leather Seats, Sunroof, Cruise Control, Android Auto, Voice Control"
Tata,Altroz,2020,SUV,Petrol/CNG,19,10.00 - 30.00,6458,No,21.6 kmpl,"360 Camera, ADAS, ESC, Touchscreen, AC, Ventilated Seats, Cruise Control, Wireless Charging, HUD"
Hyundai,Creta,2019,Hatchback,Petrol,21,3.50 - 8.50,13529,No,16.4 kmpl,"EBD, TPMS, Cruise Control, Power Windows, AC, Touchscreen, Sunroof, Connected Car, Apple CarPlay, HUD"
Citroen,C3,2018,Compact SUV,Petrol,9,7.00 - 18.00,8948,No,24.3 kmpl,"TPMS, 360 Camera, Sunroof, AC, Power Windows, Touchscreen, HUD"
BYD,E6,2019,Compact SUV,Petrol/CNG,22,7.00 - 18.00,8609,No,26.6 kmpl,"EBD, TPMS, Cruise Control, AC, Leather Seats, Wireless Charging, Android Auto"
BYD,E6,2021,SUV,Petrol,23,10.00 - 30.00,2690,No,22.8 kmpl,"ABS, EBD, Sunroof, Cruise Control, Leather Seats, AC, Touchscreen, HUD, Connected Car"
Renault,Kwid,2018,SUV,Petrol,6,10.00 - 30.00,3494,No,19.9 kmpl,"EBD, ADAS, Power Windows, Touchscreen, Cruise Control, Ventilated Seats, Sunroof, Apple CarPlay, Connected Car"
Skoda,Kushaq,2015,Compact SUV,Diesel,11,7.00 - 18.00,8340,No,24.3 kmpl,"EBD, ABS, ADAS, ESC, AC, Power Windows, Sunroof, Android Auto, Apple CarPlay"
Mercedes,C-Class,2021,Compact SUV,Diesel,14,7.00 - 18.00,13045,No,25.5 kmpl,"TPMS, Airbags, ADAS, ABS, Power Windows, AC, Ventilated Seats, Sunroof, Touchscreen, Wireless Charging, Apple CarPlay"
BYD,E6,2020,Hatchback,Petrol,6,3.50 - 8.50,11887,No,23.4 kmpl,"Hill Hold, ABS, EBD, TPMS, Touchscreen, Leather Seats, Ventilated Seats, Voice Control, HUD, Connected Car"
Maruti Suzuki,Dzire,2020,Sedan,Petrol,24,6.00 - 15.00,5930,No,24.8 kmpl,"Airbags, EBD, 360 Camera, Hill Hold, AC, Ventilated Seats, Power Windows, Voice Control, Android Auto, Wireless Charging"
Mahindra,Marazzo,2022,Hatchback,Diesel,14,3.50 - 8.50,10551,No,18.4 kmpl,"TPMS, Hill Hold, ADAS, Airbags, Cruise Control, Leather Seats, Power Windows, Apple CarPlay"
BYD,Atto 3,2017,Hatchback,Petrol/Diesel,9,3.50 - 8.50,19888,No,16.5 kmpl,"360 Camera, ADAS, Power Windows, Ventilated Seats, Leather Seats, Voice Control, Wireless Charging"
Kia,Sonet,2023,Hatchback,Diesel,6,3.50 - 8.50,12810,No,19.8 kmpl,"ABS, 360 Camera, TPMS, AC, Sunroof, Touchscreen, Ventilated Seats, Wireless Charging"
Force,Gurkha,2020,Luxury,Petrol/CNG,10,30.00 - 100.00,495,No,30.0 kmpl,"ABS, ADAS, TPMS, ESC, AC, Ventilated Seats, Sunroof, Power Windows, Voice Control"
Kia,Sonet,2015,Electric Hatchback,Petrol/CNG,10,6.00 - 12.00,3049,No,29.3 kmpl,"EBD, Hill Hold, ABS, TPMS, Ventilated Seats, Touchscreen, Cruise Control, Connected Car, Apple CarPlay"
Audi,Q3,2022,Hatchback,Petrol/CNG,1,3.50 - 8.50,11066,No,26.9 kmpl,"EBD, 360 Camera, Power Windows, Leather Seats, Touchscreen, AC, Sunroof, Voice Control, Wireless Charging, Connected Car"
MG,Comet EV,2016,MPV,Petrol,10,8.00 - 20.00,2569,No,20.5 kmpl,"ADAS, EBD, Touchscreen, AC, Power Windows, Ventilated Seats, Cruise Control, Wireless Charging"
Tata,Nexon,2021,SUV,Petrol,7,10.00 - 30.00,6306,No,24.0 kmpl,"Hill Hold, ESC, 360 Camera, Touchscreen, Sunroof, Ventilated Seats, AC, Leather Seats, Android Auto, Wireless Charging, HUD"
Toyota,Innova,2023,Hatchback,Petrol,25,3.50 - 8.50,13006,No,23.4 kmpl,"360 Camera, Hill Hold, Power Windows, Ventilated Seats, Leather Seats, AC, Connected Car, Wireless Charging, Apple CarPlay"
Mahindra,Bolero,2015,SUV,Diesel,23,10.00 - 30.00,5107,No,26.3 kmpl,"Hill Hold, Airbags, Ventilated Seats, Sunroof, Power Windows, Wireless Charging"
BYD,Atto 3,2016,Hatchback,Petrol,22,3.50 - 8.50,17496,No,16.1 kmpl,"Airbags, ABS, Hill Hold, Touchscreen, Cruise Control, Sunroof, Power Windows, HUD, Wireless Charging"
Citroen,C5 Aircross,2023,Hatchback,Petrol,9,3.50 - 8.50,18595,No,23.8 kmpl,"EBD, ESC, ABS, ADAS, Touchscreen, AC, Cruise Control, Power Windows, Voice Control, HUD"
Honda,City,2015,SUV,Diesel,22,10.00 - 30.00,3765,No,27.2 kmpl,"360 Camera, EBD, ESC, Touchscreen, Power Windows, Sunroof, Cruise Control, AC, Android Auto, Connected Car"
Skoda,Superb,2015,Electric Hatchback,Petrol,2,6.00 - 12.00,2875,No,18.4 kmpl,"TPMS, ADAS, ABS, Power Windows, Cruise Control, AC, Ventilated Seats, Leather Seats, Wireless Charging, Apple CarPlay"
Audi,Q5,2018,SUV,Petrol,11,10.00 - 30.00,3241,No,22.6 kmpl,"ADAS, EBD, TPMS, AC, Sunroof, Power Windows, Ventilated Seats, Wireless Charging, Android Auto, Connected Car"
Skoda,Slavia,2018,Sedan,Diesel,4,6.00 - 15.00,9277,No,19.2 kmpl,"ESC, TPMS, Touchscreen, AC, Cruise Control, Ventilated Seats, Wireless Charging, HUD, Apple CarPlay"
Audi,Q3,2020,Hatchback,Petrol,9,3.50 - 8.50,15966,No,22.4 kmpl,"EBD, TPMS, ABS, ADAS, Touchscreen, Leather Seats, Ventilated Seats, Wireless Charging, Apple CarPlay"
Renault,Kiger,2015,Sedan,Petrol,25,6.00 - 15.00,8448,No,24.1 kmpl,"EBD, ABS, ADAS, Ventilated Seats, Touchscreen, Sunroof, Wireless Charging"
Hyundai,Aura,2021,Hatchback,Petrol,24,3.50 - 8.50,16775,No,20.1 kmpl,"Airbags, TPMS, Hill Hold, Leather Seats, Ventilated Seats, Sunroof, Voice Control, Android Auto, Connected Car"
Tata,Tiago,2022,Hatchback,Petrol,11,3.50 - 8.50,9339,No,19.4 kmpl,"ADAS, Airbags, TPMS, Cruise Control, Touchscreen, Ventilated Seats, Leather Seats, Wireless Charging, Connected Car"
Honda,WR-V,2023,MPV,Petrol,25,8.00 - 20.00,5234,No,18.2 kmpl,"EBD, Hill Hold, ESC, ADAS, Power Windows, Touchscreen, Cruise Control, Connected Car, Apple CarPlay, Wireless Charging"
Lexus,RX,2015,Sedan,Diesel,12,6.00 - 15.00,8923,No,26.1 kmpl,"ESC, ABS, Hill Hold, Sunroof, Cruise Control, Ventilated Seats, Connected Car, Apple CarPlay"
Mahindra,Scorpio,2021,Sedan,Petrol,19,6.00 - 15.00,4935,No,22.7 kmpl,"Hill Hold, ABS, TPMS, 360 Camera, Power Windows, Cruise Control, Touchscreen, Ventilated Seats, HUD, Wireless Charging, Apple CarPlay"
Hyundai,Creta,2016,Sedan,Petrol,20,6.00 - 15.00,12664,No,22.6 kmpl,"ESC, Hill Hold, TPMS, ABS, Sunroof, Power Windows, Ventilated Seats, Wireless Charging, HUD"
Tata,Harrier,2017,Sedan,Petrol,25,6.00 - 15.00,11309,No,22.1 kmpl,"EBD, ESC, TPMS, Ventilated Seats, Leather Seats, Cruise Control, AC, Power Windows, Apple CarPlay, Wireless Charging"
Mercedes,A-Class,2015,Hatchback,Petrol/CNG,15,3.50 - 8.50,8992,No,28.1 kmpl,"ADAS, Airbags, Hill Hold, ABS, Touchscreen, Ventilated Seats, Leather Seats, Cruise Control, Sunroof, Connected Car, Voice Control"
Maruti Suzuki,Dzire,2022,SUV,Petrol,20,10.00 - 30.00,3646,No,18.9 kmpl,"Airbags, Hill Hold, Leather Seats, Touchscreen, Sunroof, Power Windows, Cruise Control, HUD, Apple CarPlay"
Lexus,RX,2023,Compact SUV,Petrol,14,7.00 - 18.00,9213,No,21.7 kmpl,"ADAS, 360 Camera, Hill Hold, Ventilated Seats, Power Windows, Sunroof, Wireless Charging, HUD, Android Auto"
BYD,Atto 3,2023,Compact SUV,Petrol,20,7.00 - 18.00,7404,No,23.6 kmpl,"TPMS, 360 Camera, Power Windows, Cruise Control, Touchscreen, Sunroof, Connected Car, HUD, Apple CarPlay"
Renault,Kwid,2020,Compact SUV,Petrol,24,7.00 - 18.00,13825,No,15.6 kmpl,"ABS, Airbags, ESC, Leather Seats, Touchscreen, Cruise Control, Wireless Charging"
BMW,3 Series,2016,Electric Hatchback,Petrol,5,6.00 - 12.00,4572,No,20.2 kmpl,"ABS, EBD, Cruise Control, Ventilated Seats, Leather Seats, AC, Sunroof, HUD"
Renault,Triber,2015,Hatchback,Petrol,5,3.50 - 8.50,12433,No,19.5 kmpl,"Airbags, ESC, Sunroof, Touchscreen, AC, Cruise Control, Ventilated Seats, Wireless Charging"
Hyundai,Exter,2015,SUV,Petrol/Diesel,16,10.00 - 30.00,4992,No,16.5 kmpl,"360 Camera, ADAS, TPMS, Touchscreen, Power Windows, Leather Seats, AC, Cruise Control, Android Auto, Voice Control"
BYD,Atto 3,2022,Compact SUV,Petrol,8,7.00 - 18.00,12283,No,20.3 kmpl,"ADAS, TPMS, 360 Camera, Ventilated Seats, Power Windows, Leather Seats, Touchscreen, Sunroof, HUD, Wireless Charging"
Lexus,NX,2022,Sedan,Petrol/Diesel,22,6.00 - 15.00,7856,No,18.1 kmpl,"ABS, ADAS, EBD, Hill Hold, Cruise Control, Leather Seats, AC, Android Auto, Voice Control, Apple CarPlay"
Force,Gurkha,2020,Compact SUV,Petrol,22,7.00 - 18.00,9901,No,16.9 kmpl,"ABS, TPMS, Sunroof, AC, Touchscreen, Connected Car, Wireless Charging, Voice Control"
Jeep,Meridian,2022,MPV,Diesel,2,8.00 - 20.00,3376,No,24.5 kmpl,"ADAS, ESC, EBD, TPMS, Ventilated Seats, Touchscreen, Cruise Control, AC, Sunroof, Voice Control"
Nissan,Kicks,2017,Compact SUV,Diesel,5,7.00 - 18.00,11009,No,18.7 kmpl,"TPMS, Airbags, AC, Leather Seats, Cruise Control, Sunroof, Android Auto, Apple CarPlay, Wireless Charging"
Force,Gurkha,2023,Hatchback,Petrol,10,3.50 - 8.50,13541,No,20.6 kmpl,"ADAS, 360 Camera, TPMS, Sunroof, AC, Cruise Control, Ventilated Seats, Touchscreen, Wireless Charging, Voice Control, Android Auto"
Jeep,Compass,2015,Hatchback,Diesel,20,3.50 - 8.50,8904,No,19.2 kmpl,"ADAS, TPMS, EBD, Power Windows, Cruise Control, Leather Seats, Touchscreen, Wireless Charging"
Jeep,Meridian,2017,Hatchback,Diesel,24,3.50 - 8.50,13726,No,25.3 kmpl,"EBD, ESC, ADAS, ABS, Power Windows, Cruise Control, Sunroof, AC, Wireless Charging"
MG,ZS EV,2016,Electric SUV,Petrol,24,12.00 - 25.00,1581,No,23.9 kmpl,"ABS, 360 Camera, ADAS, ESC, Power Windows, Leather Seats, AC, Sunroof, Touchscreen, Apple CarPlay, Android Auto"
Toyota,Fortuner,2015,Compact SUV,Petrol,8,7.00 - 18.00,8588,No,16.2 kmpl,"TPMS, Airbags, ADAS, Leather Seats, Touchscreen, Sunroof, Android Auto"
Volkswagen,Taigun,2022,SUV,Diesel,13,10.00 - 30.00,3252,No,21.1 kmpl,"ADAS, TPMS, Airbags, EBD, AC, Ventilated Seats, Cruise Control, Power Windows, Touchscreen, Apple CarPlay, HUD, Wireless Charging"
Force,Gurkha,2017,SUV,Petrol/Diesel,17,10.00 - 30.00,5768,No,15.1 kmpl,"ADAS, Airbags, TPMS, Hill Hold, Leather Seats, Power Windows, Ventilated Seats, Apple CarPlay, Android Auto"
Nissan,Kicks,2022,Hatchback,Diesel,13,3.50 - 8.50,10667,No,25.1 kmpl,"360 Camera, ESC, ABS, Cruise Control, Sunroof, Power Windows, Voice Control, Wireless Charging"
Force,Gurkha,2018,Hatchback,Petrol,6,3.50 - 8.50,11716,No,16.9 kmpl,"EBD, Hill Hold, Touchscreen, AC, Power Windows, Voice Control, Connected Car, Android Auto"
Citroen,C5 Aircross,2023,Electric SUV,Electric,5,14.40 - 32.50,1800,Yes,451 km range,"Airbags, TPMS, AC, Ventilated Seats, Touchscreen, Power Windows, Sunroof, Voice Control"
BYD,Atto 3,2020,Compact SUV,Petrol,16,7.00 - 18.00,10308,No,19.3 kmpl,"ESC, TPMS, AC, Leather Seats, Ventilated Seats, Touchscreen, Power Windows, Wireless Charging, Voice Control, Apple CarPlay"
Honda,City,2021,Compact SUV,Petrol,3,7.00 - 18.00,7066,No,22.0 kmpl,"ABS, EBD, Hill Hold, ESC, Cruise Control, AC, Sunroof, Ventilated Seats, Power Windows, Apple CarPlay, Android Auto"
Hyundai,Aura,2015,Electric SUV,Petrol,4,12.00 - 25.00,1501,No,20.5 kmpl,"ABS, 360 Camera, Hill Hold, TPMS, Cruise Control, Sunroof, Leather Seats, Connected Car, Wireless Charging, Android Auto"
Citroen,C3,2022,Hatchback,Petrol,14,3.50 - 8.50,18131,No,18.3 kmpl,"Airbags, ESC, Touchscreen, Sunroof, Cruise Control, AC, Leather Seats, Voice Control, Connected Car, Apple CarPlay"
Jeep,Meridian,2019,Compact SUV,Diesel,21,7.00 - 18.00,15023,No,25.8 kmpl,"Hill Hold, TPMS, Airbags, ABS, Sunroof, AC, Power Windows, Leather Seats, Ventilated Seats, Apple CarPlay, HUD"
Tata,Safari,2016,Compact SUV,Diesel,19,7.00 - 18.00,10412,No,23.3 kmpl,"Hill Hold, TPMS, ESC, Touchscreen, Leather Seats, AC, Wireless Charging"
MG,Astor,2015,Compact SUV,Diesel,1,7.00 - 18.00,6488,No,27.9 kmpl,"Airbags, Hill Hold, EBD, Power Windows, Sunroof, Leather Seats, Android Auto, Connected Car, Voice Control"
Hyundai,Exter,2017,Hatchback,Diesel,7,3.50 - 8.50,8864,No,19.0 kmpl,"Hill Hold, 360 Camera, Cruise Control, Touchscreen, AC, Ventilated Seats, HUD, Apple CarPlay"
Jeep,Meridian,2023,Sedan,Petrol/CNG,8,6.00 - 15.00,4519,No,27.1 kmpl,"360 Camera, EBD, Hill Hold, Sunroof, Cruise Control, Touchscreen, Ventilated Seats, HUD, Android Auto"
Audi,Q5,2016,Sedan,Petrol/CNG,5,6.00 - 15.00,7805,No,21.9 kmpl,"ADAS, 360 Camera, Cruise Control, Touchscreen, Ventilated Seats, Sunroof, Wireless Charging"
Kia,Sonet,2021,SUV,Diesel,20,10.00 - 30.00,5905,No,23.0 kmpl,"ABS, Airbags, AC, Power Windows, Touchscreen, Cruise Control, Connected Car"
BYD,E6,2019,Compact SUV,Petrol,10,7.00 - 18.00,12509,No,22.2 kmpl,"Airbags, TPMS, ESC, Hill Hold, AC, Cruise Control, Power Windows, Touchscreen, Sunroof, Connected Car, Android Auto, Voice Control"
BYD,Atto 3,2023,Compact SUV,Petrol,25,7.00 - 18.00,11417,No,21.9 kmpl,"EBD, ESC, 360 Camera, Hill Hold, AC, Touchscreen, Ventilated Seats, Sunroof, Cruise Control, HUD"
Citroen,C3,2018,Compact SUV,Petrol/CNG,20,7.00 - 18.00,5969,No,23.9 kmpl,"Airbags, EBD, ABS, Cruise Control, Ventilated Seats, Power Windows, Sunroof, Touchscreen, Android Auto, HUD"
Kia,Sonet,2020,Luxury,Petrol,15,30.00 - 100.00,878,No,21.5 kmpl,"Hill Hold, ESC, ADAS, TPMS, AC, Touchscreen, Sunroof, Cruise Control, Android Auto, Apple CarPlay, Connected Car"
Jeep,Meridian,2017,Luxury,Petrol,5,30.00 - 100.00,391,No,15.7 kmpl,"Hill Hold, TPMS, ABS, Power Windows, Leather Seats, Ventilated Seats, Connected Car"
Mercedes,C-Class,2022,SUV,Petrol,10,10.00 - 30.00,5861,No,24.7 kmpl,"360 Camera, TPMS, EBD, ESC, AC, Power Windows, Ventilated Seats, Leather Seats, Cruise Control, Apple CarPlay, HUD, Wireless Charging"
BYD,E6,2017,Hatchback,Petrol/Diesel,14,3.50 - 8.50,17822,No,19.1 kmpl,"ADAS, TPMS, ABS, Touchscreen, Ventilated Seats, Sunroof, Apple CarPlay, Connected Car"
Kia,Carens,2017,Sedan,Diesel,7,6.00 - 15.00,12966,No,19.4 kmpl,"Airbags, EBD, 360 Camera, ABS, Touchscreen, Cruise Control, Ventilated Seats, AC, Leather Seats, Wireless Charging, HUD, Android Auto"
Lexus,NX,2019,Sedan,Petrol,3,6.00 - 15.00,11729,No,20.1 kmpl,"360 Camera, ESC, Touchscreen, Ventilated Seats, Leather Seats, Power Windows, Sunroof, Android Auto"
Toyota,Innova,2021,Electric Hatchback,Petrol,17,6.00 - 12.00,2259,No,20.7 kmpl,"ESC, 360 Camera, Ventilated Seats, Sunroof, Cruise Control, Connected Car, Wireless Charging, Apple CarPlay"
Force,Gurkha,2015,MPV,Petrol,17,8.00 - 20.00,5021,No,22.1 kmpl,"Hill Hold, ABS, TPMS, Airbags, Touchscreen, Power Windows, AC, Voice Control, Apple CarPlay"
Hyundai,Verna,2021,Sedan,Petrol,11,6.00 - 15.00,13386,No,24.0 kmpl,"Airbags, Hill Hold, 360 Camera, ABS, Touchscreen, Ventilated Seats, Power Windows, Leather Seats, Connected Car, Apple CarPlay"
Tata,Tigor,2023,Compact SUV,Petrol,7,7.00 - 18.00,7062,No,24.8 kmpl,"ESC, EBD, Power Windows, Touchscreen, Leather Seats, Sunroof, Android Auto"
Skoda,Kushaq,2016,Sedan,Petrol,7,6.00 - 15.00,10700,No,16.1 kmpl,"ESC, EBD, AC, Ventilated Seats, Cruise Control, Power Windows, Touchscreen, Voice Control, Wireless Charging, Connected Car"
Force,Gurkha,2015,Compact SUV,Petrol,2,7.00 - 18.00,13302,No,16.1 kmpl,"ESC, 360 Camera, ABS, ADAS, Power Windows, Leather Seats, Sunroof, Ventilated Seats, Wireless Charging, Connected Car"
BYD,Atto 3,2019,Hatchback,Petrol/CNG,7,3.50 - 8.50,18789,No,24.9 kmpl,"Hill Hold, ABS, Power Windows, Cruise Control, AC, Touchscreen, Wireless Charging, HUD"
Force,Gurkha,2023,Sedan,Petrol,6,6.00 - 15.00,6949,No,16.6 kmpl,"TPMS, ABS, Sunroof, AC, Cruise Control, Power Windows, Android Auto, HUD, Connected Car"
Volkswagen,Taigun,2015,Sedan,Petrol/CNG,12,6.00 - 15.00,12078,No,29.4 kmpl,"TPMS, Hill Hold, AC, Touchscreen, Power Windows, Leather Seats, Ventilated Seats, Apple CarPlay, Voice Control, HUD"
Mahindra,Thar,2017,SUV,Petrol/Diesel,19,10.00 - 30.00,2869,No,19.8 kmpl,"ABS, TPMS, Ventilated Seats, Leather Seats, Power Windows, Wireless Charging, Apple CarPlay, Connected Car"
Volkswagen,Taigun,2022,Hatchback,Electric,24,4.20 - 11.05,8390,Yes,324 km range,"ABS, EBD, ADAS, Ventilated Seats, Touchscreen, Power Windows, Sunroof, Android Auto, Voice Control"
Volkswagen,Polo,2017,Sedan,Petrol,6,6.00 - 15.00,4648,No,21.7 kmpl,"Airbags, TPMS, Touchscreen, Power Windows, Leather Seats, AC, Cruise Control, Wireless Charging"
Mahindra,Bolero,2021,Electric Hatchback,Diesel,12,6.00 - 12.00,2512,No,25.2 kmpl,"EBD, ESC, Airbags, 360 Camera, Cruise Control, Touchscreen, AC, Power Windows, Ventilated Seats, Voice Control, Android Auto, Connected Car"
Renault,Kwid,2017,SUV,Petrol/CNG,5,10.00 - 30.00,6801,No,25.6 kmpl,"TPMS, EBD, Hill Hold, ADAS, Cruise Control, Power Windows, Sunroof, Leather Seats, Wireless Charging"
Lexus,RX,2022,Hatchback,Petrol,25,3.50 - 8.50,19214,No,20.4 kmpl,"Hill Hold, 360 Camera, Airbags, Power Windows, Cruise Control, Sunroof, AC, Touchscreen, Voice Control"
Hyundai,Exter,2019,Compact SUV,Petrol,11,7.00 - 18.00,13788,No,16.8 kmpl,"ESC, 360 Camera, ABS, Sunroof, Touchscreen, Leather Seats, Power Windows, Connected Car"
Citroen,C5 Aircross,2022,Hatchback,Petrol,6,3.50 - 8.50,19005,No,16.9 kmpl,"ADAS, ESC, Airbags, ABS, Cruise Control, Ventilated Seats, Leather Seats, Touchscreen, Apple CarPlay, Voice Control, Android Auto"
Citroen,C3,2016,Sedan,Petrol,22,6.00 - 15.00,12377,No,19.1 kmpl,"ABS, Hill Hold, Power Windows, Leather Seats, Touchscreen, Android Auto"
Mercedes,C-Class,2022,Hatchback,Diesel,16,3.50 - 8.50,19804,No,21.8 kmpl,"ADAS, Airbags, Power Windows, Cruise Control, AC, Ventilated Seats, Leather Seats, Connected Car"
Mahindra,Scorpio,2021,Sedan,Petrol,24,6.00 - 15.00,5623,No,24.6 kmpl,"EBD, Airbags, TPMS, Sunroof, Cruise Control, Ventilated Seats, AC, Leather Seats, Wireless Charging, HUD, Android Auto"
Nissan,Magnite,2019,Sedan,Petrol,7,6.00 - 15.00,7320,No,21.0 kmpl,"Hill Hold, EBD, 360 Camera, Leather Seats, Touchscreen, Sunroof, Ventilated Seats, AC, HUD, Wireless Charging"
Citroen,C5 Aircross,2021,Compact SUV,Petrol/CNG,11,7.00 - 18.00,8279,No,25.0 kmpl,"360 Camera, TPMS, Airbags, Sunroof, Ventilated Seats, Power Windows, Wireless Charging, Apple CarPlay, Connected Car"
Lexus,NX,2023,SUV,Petrol/CNG,6,10.00 - 30.00,5623,No,20.1 kmpl,"EBD, Hill Hold, Airbags, Leather Seats, Cruise Control, Touchscreen, HUD, Connected Car, Voice Control"
